BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
MANHATTAN,40.850418,-73.93454,7,1,9,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.708782,-73.957695,21,6,4,1,0,Passenger Distraction,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.618427,-73.956245,17,4,8,0,1,Unspecified,Convertible,1
BROOKLYN,40.6621418,-73.9822303,16,5,6,1,1,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0
QUEENS,40.7481594,-73.8540532,14,1,12,0,0,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0
,40.7319,-73.9888,20,4,12,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.66937,-73.89523,7,0,12,0,1,Failure to Yield Right-of-Way,Sedan,0
BRONX,40.855576,-73.90708,14,4,8,0,0,Unspecified,,0
BROOKLYN,40.6817416,-73.958584,18,4,11,0,1,Unspecified,BUS,0
,40.66879,-73.88839,16,4,12,0,1,Failure to Yield Right-of-Way,Sedan,0
,40.618793,-74.03698,10,3,5,0,0,View Obstructed/Limited,Sedan,0
MANHATTAN,40.7560314,-73.9790253,12,2,9,0,0,Unspecified,UNKNOWN,0
MANHATTAN,40.7202352,-73.9844767,15,6,9,1,0,Unspecified,PASSENGER VEHICLE,1
MANHATTAN,40.748302,-73.97835,15,4,8,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.76546,-73.9819897,18,3,4,0,1,Unspecified,LARGE COM VEH(6 OR MORE TIRES),0
BROOKLYN,40.62562,-73.9573,15,1,7,0,0,Unspecified,Sedan,1
MANHATTAN,40.752426,-73.984314,16,2,8,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.743263,-73.98202,0,2,1,0,0,Failure to Yield Right-of-Way,Taxi,0
QUEENS,40.7063611,-73.7925261,17,1,1,0,1,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.652386,-74.002754,20,4,10,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,1
